Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
1.030;;;;2.39;-1.38;31.10
1.035;;;;-0.03;1.49;29.74
1.040;;;;0.96;-1.59;33.11
1.045;;;;2.79;0.34;37.43
1.050;;;;3.62;-0.61;37.87
1.055;;;;1.48;-1.70;36.56
1.060;;;;-0.03;0.02;36.72
1.065;;;;1.73;-1.73;36.60
1.070;;;;3.24;-2.87;37.20
1.075;;;;0.13;-1.68;34.32
1.080;;;;2.61;0.20;34.02
1.085;;;;2.86;-2.49;34.16
1.090;;;;-1.66;-0.86;31.91
1.095;;;;1.11;0.34;32.17
1.100;;;;3.33;-3.21;37.02
1.105;;;;1.89;0.85;35.53
1.110;;;;-2.90;-1.95;35.54
1.115;;;;-0.63;1.12;33.67
1.120;;;;1.12;1.30;32.91
1.125;;;;1.07;-1.15;32.21
1.130;;;;4.07;0.64;34.10
1.135;;;;0.72;-1.53;38.43
1.140;;;;1.03;-1.31;36.71
1.145;;;;-0.60;-1.87;36.23
1.150;;;;1.74;-4.41;40.33
1.155;;;;2.89;-1.47;38.65
1.160;;;;0.69;-2.32;38.14
1.165;;;;2.01;1.37;35.88
1.170;;;;1.66;-0.28;35.91
1.175;;;;-0.69;-0.41;34.90
1.180;;;;-0.35;1.26;34.07
1.185;;;;3.70;1.03;40.56
1.190;;;;3.08;-0.52;39.38
1.195;;;;-0.23;-0.24;32.91
1.200;;;;-0.91;-1.14;35.07
1.205;;;;0.33;-3.05;37.09
1.210;;;;-0.45;-1.99;36.76
