Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
1263;1.27;-1.67;-170.43;1.42;-1.44;-172.26;0.1499999999999999;0.22999999999999998;1.829999999999984
1264;0.29;-3.34;-169.01;0.57;-1.98;-170.4;0.27999999999999997;1.3599999999999999;1.3900000000000148
1265;0.74;-2.67;-174.6;0.53;-2.05;-173.99;0.20999999999999996;0.6200000000000001;0.6099999999999852
1266;1.57;-0.88;-173.08;1.47;-0.41;-174.6;0.10000000000000009;0.47000000000000003;1.5199999999999818
1267;4.23;2.84;-169.42;4.1;2.52;-174.04;0.13000000000000078;0.31999999999999984;4.6200000000000045
1268;3.32;-1.52;-172.41;3.32;-0.72;-175.65;0.0;0.8;3.240000000000009
1269;3.0;-1.01;-167.34;3.25;-0.66;-172.4;0.25;0.35;5.060000000000002
1270;0.67;-2.1;-170.4;0.93;-1.07;-171.67;0.26;1.03;1.2699999999999818
1271;0.9;-0.64;-166.71;1.14;-0.25;-168.97;0.23999999999999988;0.39;2.259999999999991
1272;0.66;-3.22;-171.77;0.61;-2.49;-171.67;0.050000000000000044;0.73;0.10000000000002274
1273;-0.39;-0.01;-170.17;-0.21;0.06;-170.31;0.18000000000000002;0.06999999999999999;0.14000000000001478
1274;2.57;-2.58;-170.17;2.3;-2.33;-172.39;0.27;0.25;2.219999999999999
1275;3.7;-0.3;-169.76;3.48;-0.56;-173.62;0.2200000000000002;0.26000000000000006;3.8600000000000136
1276;3.0;1.16;-165.83;3.19;0.33;-170.94;0.18999999999999995;0.8299999999999998;5.109999999999985
1277;1.5;-3.84;-168.73;1.74;-2.21;-170.87;0.24;1.63;2.140000000000015
1278;1.43;-0.66;-167.99;1.59;-0.01;-169.98;0.16000000000000014;0.65;1.9899999999999807
1279;-1.25;-0.1;-165.06;-0.66;0.7;-165.53;0.59;0.7999999999999999;0.46999999999999886
1280;3.91;-0.14;-167.17;3.32;-0.24;-169.49;0.5900000000000003;0.09999999999999998;2.3200000000000216
1281;1.96;-1.84;-165.66;2.13;-1.39;-168.7;0.16999999999999993;0.4500000000000002;3.039999999999992
1282;3.27;0.76;-166.41;3.03;0.14;-169.69;0.2400000000000002;0.62;3.280000000000001
1283;1.48;-0.02;-166.7;1.68;0.41;-168.78;0.19999999999999996;0.43;2.0800000000000125
1284;-1.25;-0.31;-166.7;-0.99;-0.51;-166.55;0.26;0.2;0.14999999999997726
1285;1.7;1.48;-162.16;1.71;1.35;-164.48;0.010000000000000009;0.1299999999999999;2.319999999999993
1286;6.15;-0.99;-166.23;5.55;-0.67;-170.45;0.6000000000000005;0.31999999999999995;4.219999999999999
1287;0.28;-3.33;-164.03;0.81;-2.7;-166.97;0.53;0.6299999999999999;2.9399999999999977
1288;0.96;-0.71;-169.03;0.8;-0.41;-169.2;0.15999999999999992;0.3;0.1699999999999875
1289;-0.69;-6.55;-161.96;-0.21;-4.49;-164.37;0.48;2.0599999999999996;2.4099999999999966
1290;-4.51;-4.01;-167.15;-3.91;-2.73;-163.25;0.5999999999999996;1.2799999999999998;3.9000000000000057
1291;-0.04;-1.42;-162.71;-0.12;-0.94;-163.06;0.07999999999999999;0.48;0.3499999999999943
1292;1.92;1.05;-166.6;1.47;1.07;-166.71;0.44999999999999996;0.020000000000000018;0.11000000000001364
1293;-0.4;-3.49;-165.02;-0.04;-2.04;-165.69;0.36000000000000004;1.4500000000000002;0.6699999999999875
1294;-0.72;0.37;-167.29;-0.7;0.42;-166.14;0.020000000000000018;0.04999999999999999;1.1500000000000057
1295;-2.27;-0.49;-168.09;-2.14;-0.37;-165.71;0.1299999999999999;0.12;2.3799999999999955
1296;5.77;0.34;-167.34;4.8;0.23;-170.96;0.9699999999999998;0.11000000000000001;3.6200000000000045
1297;3.0;-1.01;-165.28;3.2;-0.72;-169.66;0.20000000000000018;0.29000000000000004;4.3799999999999955
1298;0.85;-2.82;-160.83;1.08;-3.4;-165.5;0.2300000000000001;0.5800000000000001;4.6699999999999875
